Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F,Y2022,Y2022F
"3","'008","Albania","6801","Petroleum products","7225","Emissions (CH4)","kt","0.055800","E","0.031500","E","0.028400","E","0.015500","E","0.019900","E","0.045400","E","0.046100","E","0.035200","E","0.037900","E","0.037500","E","0.035300","E","0.034300","E","0.042900","E","0.029500","E","0.052900","E","0.041000","E","0.051400","E","0.039100","E","0.033600","E","0.026700","E","0.037200","E","0.041600","E","0.030000","E","0.031700","E","0.057900","E","0.032100","E","0.034900","E","0.041900","E","0.036100","E","0.037900","E","0.035300","E","0.037700","E","0.037700","I"
"3","'008","Albania","6801","Petroleum products","7230","Emissions (N2O)","kt","0.040500","E","0.028200","E","0.017700","E","0.023500","E","0.024100","E","0.022400","E","0.020300","E","0.012500","E","0.032100","E","0.081000","E","0.080900","E","0.083300","E","0.083700","E","0.018200","E","0.085400","E","0.079800","E","0.153500","E","0.080900","E","0.067400","E","0.076800","E","0.072400","E","0.091000","E","0.080000","E","0.086500","E","0.091700","E","0.090400","E","0.093000","E","0.104800","E","0.103300","E","0.103400","E","0.098500","E","0.091700","E","0.091700","I"
"3","'008","Albania","6802","Natural gas","72184","Energy use in agriculture","TJ","800.000000","E","800.000000","E","800.000000","E","720.000000","E","71.000000","E","63.458100","E","52.675500","E","37.631000","E","22.586400","E","7.541900","E","2.474700","E","2.239000","E","2.690700","E","3.142500","E","3.594200","E","4.045900","E","4.497600","E","4.949400","E","3.631000","E","2.312700","E","2.091100","E","5.563300","E","9.035600","E","12.830700","E","18.696900","E","30.580100","E","27.674100","E","34.217900","E","20.070300","E","17.764700","E","17.761800","E","17.758800","E","17.758800","I"
"3","'008","Albania","6802","Natural gas","7273","Emissions (CO2)","kt","44.880000","E","44.880000","E","44.880000","E","40.392000","E","3.983100","E","3.560000","E","2.955100","E","2.111100","E","1.267100","E","0.423100","E","0.138800","E","0.125600","E","0.151000","E","0.176300","E","0.201600","E","0.227000","E","0.252300","E","0.277700","E","0.203700","E","0.129700","E","0.117300","E","0.312100","E","0.506900","E","0.719800","E","1.048900","E","1.715500","E","1.552500","E","1.919600","E","1.125900","E","0.996600","E","0.996400","E","0.996300","E","0.996300","I"
"3","'008","Albania","6802","Natural gas","7225","Emissions (CH4)","kt","0.004000","E","0.004000","E","0.004000","E","0.003600","E","0.000400","E","0.000300","E","0.000300","E","0.000200","E","0.000100","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000100","E","0.000100","E","0.000200","E","0.000100","E","0.000200","E","0.000100","E","0.000100","E","0.000100","E","0.000100","E","0.000100","I"
"3","'008","Albania","6802","Natural gas","7230","Emissions (N2O)","kt","0.000100","E","0.000100","E","0.000100","E","0.000100","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","I"
"3","'008","Albania","6807","Electricity","72184","Energy use in agriculture","TJ","1080.000000","E","810.000000","E","295.200000","E","360.000000","E","115.200000","E","140.400000","E","187.200000","E","93.600000","E","104.400000","E","608.400000","E","630.000000","E","561.600000","E","712.800000","E","460.800000","E","169.200000","E","61.200000","E","82.800000","E","82.440000","E","343.476000","E","343.476000","E","376.740000","E","434.520000","E","502.308000","E","602.568000","E","665.784000","E","316.800000","E","295.200000","E","277.117200","E","457.117200","E","462.384000","E","500.220000","E","583.953500","E","583.953500","I"
"3","'008","Albania","6807","Electricity","7273","Emissions (CO2)","kt","45.090200","E","18.427600","E","4.239400","E","8.670000","E","3.088000","E","2.145000","E","1.742000","E","0.938600","E","1.145500","E","5.661500","E","9.485000","E","10.233600","E","13.582800","E","4.441600","E","1.410000","E","0.447100","E","0.595700","E","0.721400","E","3.005400","E","0.114500","E","0.219800","E","0.893200","E","1.032500","E","1.238600","E","1.368600","E","0.651200","E","0.606800","E","0.569600","E","0.939600","E","0.950500","E","1.028200","E","1.200400","E","1.200400","I"
"3","'008","Albania","6807","Electricity","7225","Emissions (CH4)","kt","0.001100","E","0.000800","E","0.000300","E","0.000400","E","0.000100","E","0.000100","E","0.000200","E","0.000100","E","0.000100","E","0.000600","E","0.000600","E","0.000600","E","0.000700","E","0.000500","E","0.000200","E","0.000100","E","0.000100","E","0.000100","E","0.000300","E","0.000300","E","0.000400","E","0.000400","E","0.000500","E","0.000600","E","0.000700","E","0.000300","E","0.000300","E","0.000300","E","0.000500","E","0.000500","E","0.000500","E","0.000600","E","0.000600","I"
"3","'008","Albania","6807","Electricity","7230","Emissions (N2O)","kt","0.000300","E","0.000200","E","0.000000","E","0.000100","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000100","E","0.000100","E","0.000100","E","0.000100","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000100","E","0.000100","E","0.000100","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000000","E","0.000100","E","0.000100","E","0.000100","I"
